"Pegelkennziffer","Pegelname","Datum","Wasserstand","Durchfluss","Flussgebiet"
"551208","Friedrichstadt","01.01.1999","","6,02","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.01.1999","","5,62","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.01.1999","","5,24","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.01.1999","","4,70","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.01.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.01.1999","","2,77","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.01.1999","","2,90","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.01.1999","","2,90","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.01.1999","","2,90","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.01.1999","","2,77","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.01.1999","","3,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.01.1999","","4,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.01.1999","","4,20","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.01.1999","","4,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.01.1999","","4,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.01.1999","","3,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.01.1999","","3,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.01.1999","","3,03","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.01.1999","","3,03","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.01.1999","","3,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.01.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.01.1999","","3,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.01.1999","","4,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.01.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.01.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.02.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.02.1999","","4,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.02.1999","","4,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.02.1999","","9,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.02.1999","","10,70","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.02.1999","","10,20","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.02.1999","","9,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.02.1999","","9,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.02.1999","","9,80","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.02.1999","","9,16","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.02.1999","","8,74","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.02.1999","","8,25","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.02.1999","","8,01","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.02.1999","","7,77","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.02.1999","","7,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.02.1999","","7,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.02.1999","","7,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.02.1999","","7,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.02.1999","","8,95","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.02.1999","","16,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.02.1999","","15,50","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.02.1999","","14,50","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.02.1999","","13,50","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.02.1999","","13,00","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.02.1999","","17,70","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.02.1999","","20,50","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.02.1999","","17,40","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.02.1999","","16,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.03.1999","","16,80","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.03.1999","","16,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.03.1999","","17,10","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.03.1999","","16,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.03.1999","","18,20","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.03.1999","","27,50","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.03.1999","","19,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.03.1999","","10,00","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.03.1999","","10,00","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.03.1999","","10,00","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.03.1999","","9,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.03.1999","","9,80","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.03.1999","","9,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.03.1999","","9,37","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.03.1999","","6,86","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.03.1999","","4,36","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.03.1999","","3,88","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.03.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.03.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.03.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.03.1999","","3,73","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.03.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.03.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.03.1999","","3,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.03.1999","","3,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.03.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.03.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.03.1999","","3,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.03.1999","","4,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.03.1999","","5,43","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.03.1999","","4,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.04.1999","","4,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.04.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.04.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.04.1999","","3,44","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.04.1999","","3,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.04.1999","","3,03","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.04.1999","","2,77","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.04.1999","","2,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.04.1999","","2,53","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.04.1999","","2,41","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.04.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.04.1999","","1,78","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.04.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.04.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.04.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.04.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.04.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.04.1999","","2,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.04.1999","","1,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.04.1999","","1,78","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.04.1999","","1,60","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.04.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.04.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.04.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.04.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.04.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.04.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.04.1999","","1,26","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.04.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.04.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.05.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.05.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.05.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.05.1999","","0,91","Nebenflüsse der Elbe"
