index,date,discharge_m3_s
0,1999-01-01,6.02
1,1999-01-02,5.62
2,1999-01-03,5.24
3,1999-01-04,4.7
4,1999-01-05,3.73
5,1999-01-06,3.16
6,1999-01-07,2.77
7,1999-01-08,2.9
8,1999-01-09,3.16
9,1999-01-10,3.16
10,1999-01-11,2.9
11,1999-01-12,2.9
12,1999-01-13,2.77
13,1999-01-14,3.16
14,1999-01-15,3.88
15,1999-01-16,4.53
16,1999-01-17,4.2
17,1999-01-18,4.53
18,1999-01-19,4.04
19,1999-01-20,3.3
20,1999-01-21,3.3
21,1999-01-22,3.16
22,1999-01-23,3.16
23,1999-01-24,3.03
24,1999-01-25,3.03
25,1999-01-26,3.16
26,1999-01-27,3.44
27,1999-01-28,3.88
28,1999-01-29,4.04
29,1999-01-30,3.73
30,1999-01-31,3.58
31,1999-02-01,3.73
32,1999-02-02,4.04
33,1999-02-03,4.88
34,1999-02-04,9.16
35,1999-02-05,10.7
36,1999-02-06,10.2
37,1999-02-07,9.58
38,1999-02-08,9.58
39,1999-02-09,9.8
40,1999-02-10,9.16
41,1999-02-11,8.74
42,1999-02-12,8.25
43,1999-02-13,8.01
44,1999-02-14,7.77
45,1999-02-15,7.53
46,1999-02-16,7.3
47,1999-02-17,7.08
48,1999-02-18,7.08
49,1999-02-19,8.95
50,1999-02-20,16.6
51,1999-02-21,15.5
52,1999-02-22,14.5
53,1999-02-23,13.5
54,1999-02-24,13.0
55,1999-02-25,17.7
56,1999-02-26,20.5
57,1999-02-27,17.4
58,1999-02-28,16.3
59,1999-03-01,16.8
60,1999-03-02,16.6
61,1999-03-03,17.1
62,1999-03-04,16.6
63,1999-03-05,18.2
64,1999-03-06,27.5
65,1999-03-07,19.6
66,1999-03-08,10.0
67,1999-03-09,10.0
68,1999-03-10,10.0
69,1999-03-11,9.58
70,1999-03-12,9.8
71,1999-03-13,9.58
72,1999-03-14,9.37
73,1999-03-15,6.86
74,1999-03-16,4.36
75,1999-03-17,3.88
76,1999-03-18,3.58
77,1999-03-19,3.58
78,1999-03-20,3.73
79,1999-03-21,3.73
80,1999-03-22,3.58
81,1999-03-23,3.44
82,1999-03-24,3.3
83,1999-03-25,3.3
84,1999-03-26,3.44
85,1999-03-27,3.58
86,1999-03-28,3.58
87,1999-03-29,4.53
88,1999-03-30,5.43
89,1999-03-31,4.53
90,1999-04-01,4.04
91,1999-04-02,3.44
92,1999-04-03,3.44
93,1999-04-04,3.44
94,1999-04-05,3.3
95,1999-04-06,3.03
96,1999-04-07,2.77
97,1999-04-08,2.53
98,1999-04-09,2.53
99,1999-04-10,2.41
100,1999-04-11,2.08
101,1999-04-12,1.78
102,1999-04-13,1.51
103,1999-04-14,1.51
104,1999-04-15,1.42
105,1999-04-16,1.42
106,1999-04-17,2.08
107,1999-04-18,2.3
108,1999-04-19,1.98
109,1999-04-20,1.78
110,1999-04-21,1.6
111,1999-04-22,1.51
112,1999-04-23,1.42
113,1999-04-24,1.42
114,1999-04-25,1.42
115,1999-04-26,1.34
116,1999-04-27,1.34
117,1999-04-28,1.26
118,1999-04-29,1.19
119,1999-04-30,1.11
120,1999-05-01,1.04
121,1999-05-02,1.04
122,1999-05-03,0.91
123,1999-05-04,0.91
124,1999-05-05,0.98
125,1999-05-06,1.11
126,1999-05-07,0.91
127,1999-05-08,1.04
128,1999-05-09,1.6
129,1999-05-10,1.04
130,1999-05-11,0.91
131,1999-05-12,1.51
132,1999-05-13,1.98
133,1999-05-14,1.34
134,1999-05-15,1.88
135,1999-05-16,1.42
136,1999-05-17,1.34
137,1999-05-18,1.51
138,1999-05-19,1.42
139,1999-05-20,1.42
140,1999-05-21,1.69
141,1999-05-22,2.08
142,1999-05-23,1.69
143,1999-05-24,1.51
144,1999-05-25,1.34
145,1999-05-26,1.26
146,1999-05-27,1.19
147,1999-05-28,1.19
148,1999-05-29,1.19
149,1999-05-30,1.19
150,1999-05-31,1.19
151,1999-06-01,1.19
152,1999-06-02,1.11
153,1999-06-03,1.19
154,1999-06-04,0.98
155,1999-06-05,0.98
156,1999-06-06,0.91
157,1999-06-07,0.91
158,1999-06-08,0.98
159,1999-06-09,0.98
160,1999-06-10,0.91
161,1999-06-11,0.79
162,1999-06-12,0.63
163,1999-06-13,0.63
164,1999-06-14,0.58
165,1999-06-15,0.54
166,1999-06-16,0.49
167,1999-06-17,0.58
168,1999-06-18,1.51
169,1999-06-19,4.88
170,1999-06-20,4.04
171,1999-06-21,3.03
172,1999-06-22,2.08
173,1999-06-23,1.51
174,1999-06-24,1.51
175,1999-06-25,1.42
176,1999-06-26,1.34
177,1999-06-27,1.34
178,1999-06-28,1.88
179,1999-06-29,1.51
180,1999-06-30,1.42
